CCA_ID,CCA_NAME,COHORT,WEIGHTED_SCORE,SCORE_ln_POP,SCORE_ln_TAX_BASE_PER_CAP,SCORE_ln_MED_HH_INC
14,Albany Park,2,48.148148148148145,10,2,4
57,Archer Heights,3,37.03703703703704,10,2,1
34,Armour Square,3,40.74074074074074,10,3,1
70,Ashburn,3,44.44444444444444,10,2,3
71,Auburn Gresham,3,37.03703703703704,10,2,1
25,Austin,3,37.03703703703704,10,2,1
45,Avalon Park,3,37.03703703703704,10,2,1
21,Avondale,2,55.55555555555556,10,3,5
19,Belmont Cragin,3,40.74074074074074,10,2,2
72,Beverly,1,66.66666666666666,10,3,8
60,Bridgeport,2,48.148148148148145,10,3,3
58,Brighton Park,3,37.03703703703704,10,2,1
47,Burnside,3,37.03703703703704,10,2,1
48,Calumet Heights,3,40.74074074074074,10,2,2
44,Chatham,3,37.03703703703704,10,2,1
66,Chicago Lawn,4,33.33333333333333,10,1,1
64,Clearing,3,44.44444444444444,10,2,3
35,Douglas,3,37.03703703703704,10,2,1
17,Dunning,2,51.85185185185185,10,3,4
27,East Garfield Park,3,37.03703703703704,10,2,1
52,East Side,3,37.03703703703704,10,1,2
77,Edgewater,3,44.44444444444444,10,3,2
9,Edison Park,1,74.07407407407408,10,5,8
68,Englewood,4,33.33333333333333,10,1,1
12,Forest Glen,1,77.77777777777779,10,5,9
37,Fuller Park,3,37.03703703703704,10,2,1
63,Gage Park,4,33.33333333333333,10,1,1
56,Garfield Ridge,2,55.55555555555556,10,3,5
38,Grand Boulevard,3,37.03703703703704,10,2,1
69,Greater Grand Crossing,3,37.03703703703704,10,2,1
55,Hegewisch,3,40.74074074074074,10,2,2
20,Hermosa,3,40.74074074074074,10,2,2
23,Humboldt Park,3,37.03703703703704,10,2,1
41,Hyde Park,2,48.148148148148145,10,4,2
16,Irving Park,2,51.85185185185185,10,3,4
11,Jefferson Park,2,55.55555555555556,10,3,5
39,Kenwood,3,40.74074074074074,10,3,1
6,Lake View,1,70.37037037037037,10,6,6
7,Lincoln Park,1,85.18518518518519,10,7,9
4,Lincoln Square,2,59.25925925925925,10,4,5
22,Logan Square,2,62.96296296296296,10,4,6
31,Lower West Side,2,48.148148148148145,10,3,3
59,McKinley Park,2,48.148148148148145,10,3,3
18,Montclare,3,40.74074074074074,10,2,2
75,Morgan Park,3,44.44444444444444,10,2,3
74,Mount Greenwood,2,62.96296296296296,10,3,7
8,Near North Side,1,92.5925925925926,10,10,8
33,Near South Side,1,81.48148148148148,10,7,8
28,Near West Side,1,81.48148148148148,10,8,7
61,New City,3,37.03703703703704,10,2,1
5,North Center,1,81.48148148148148,10,6,9
29,North Lawndale,3,37.03703703703704,10,2,1
13,North Park,2,48.148148148148145,10,3,3
10,Norwood Park,1,66.66666666666666,10,4,7
36,Oakland,3,37.03703703703704,10,2,1
76,O'Hare,2,51.85185185185185,10,4,3
15,Portage Park,2,51.85185185185185,10,3,4
50,Pullman,3,37.03703703703704,10,2,1
54,Riverdale,4,33.33333333333333,10,1,1
1,Rogers Park,3,37.03703703703704,10,2,1
49,Roseland,4,33.33333333333333,10,1,1
46,South Chicago,4,33.33333333333333,10,1,1
51,South Deering,3,37.03703703703704,10,2,1
30,South Lawndale,4,33.33333333333333,10,1,1
43,South Shore,4,33.33333333333333,10,1,1
32,The Loop,1,92.5925925925926,10,10,8
3,Uptown,3,44.44444444444444,10,3,2
73,Washington Heights,3,40.74074074074074,10,2,2
40,Washington Park,4,33.33333333333333,10,1,1
62,West Elsdon,3,40.74074074074074,10,2,2
67,West Englewood,4,33.33333333333333,10,1,1
26,West Garfield Park,4,33.33333333333333,10,1,1
65,West Lawn,3,44.44444444444444,10,2,3
53,West Pullman,4,33.33333333333333,10,1,1
2,West Ridge,3,40.74074074074074,10,2,2
24,West Town,1,74.07407407407408,10,5,8
42,Woodlawn,3,37.03703703703704,10,2,1
