"","CCA_ID","CCA_NAME","COHORT","WEIGHTED_SCORE","SCORE_ln_POP","SCORE_ln_TAX_BASE_PER_CAP","SCORE_ln_MED_HH_INC","SCORE_PCT_EDA_POP"
"1",14,"Albany Park","2",50,10,3,3,6
"2",57,"Archer Heights","3",41.6666666666667,10,3,1,5
"3",34,"Armour Square","2",52.7777777777778,10,4,1,8
"4",70,"Ashburn","3",44.4444444444444,10,2,3,5
"5",71,"Auburn Gresham","4",36.1111111111111,10,2,1,4
"6",25,"Austin","4",36.1111111111111,10,2,1,4
"7",45,"Avalon Park","3",41.6666666666667,10,3,1,5
"8",21,"Avondale","2",50,10,4,4,4
"9",19,"Belmont Cragin","3",41.6666666666667,10,2,2,5
"10",72,"Beverly","1",69.4444444444444,10,5,8,6
"11",60,"Bridgeport","2",50,10,4,3,5
"12",58,"Brighton Park","4",36.1111111111111,10,2,1,4
"13",47,"Burnside","4",30.5555555555556,10,3,1,1
"14",48,"Calumet Heights","2",47.2222222222222,10,3,3,5
"15",44,"Chatham","4",30.5555555555556,10,2,1,2
"16",66,"Chicago Lawn","4",33.3333333333333,10,1,1,4
"17",64,"Clearing","3",44.4444444444444,10,3,2,5
"18",35,"Douglas","4",33.3333333333333,10,2,1,3
"19",17,"Dunning","2",52.7777777777778,10,4,4,5
"20",27,"East Garfield Park","4",27.7777777777778,10,2,1,1
"21",52,"East Side","4",36.1111111111111,10,1,2,4
"22",77,"Edgewater","2",47.2222222222222,10,4,2,5
"23",9,"Edison Park","1",69.4444444444444,10,6,8,5
"24",68,"Englewood","4",27.7777777777778,10,2,1,1
"25",12,"Forest Glen","1",88.8888888888889,10,7,9,10
"26",37,"Fuller Park","3",38.8888888888889,10,2,1,5
"27",63,"Gage Park","4",36.1111111111111,10,1,1,5
"28",56,"Garfield Ridge","2",52.7777777777778,10,4,5,4
"29",38,"Grand Boulevard","4",27.7777777777778,10,2,1,1
"30",69,"Greater Grand Crossing","4",30.5555555555556,10,2,1,2
"31",55,"Hegewisch","3",44.4444444444444,10,3,2,5
"32",20,"Hermosa","3",41.6666666666667,10,2,2,5
"33",23,"Humboldt Park","4",30.5555555555556,10,2,1,2
"34",41,"Hyde Park","3",44.4444444444444,10,4,2,4
"35",16,"Irving Park","2",52.7777777777778,10,4,4,5
"36",11,"Jefferson Park","2",55.5555555555556,10,4,5,5
"37",39,"Kenwood","3",41.6666666666667,10,4,1,4
"38",6,"Lake View","1",77.7777777777778,10,7,6,9
"39",7,"Lincoln Park","1",88.8888888888889,10,9,8,9
"40",4,"Lincoln Square","2",58.3333333333333,10,5,5,5
"41",22,"Logan Square","2",63.8888888888889,10,5,6,6
"42",31,"Lower West Side","3",38.8888888888889,10,3,2,3
"43",59,"McKinley Park","2",47.2222222222222,10,3,3,5
"44",18,"Montclare","3",44.4444444444444,10,3,2,5
"45",75,"Morgan Park","2",47.2222222222222,10,3,3,5
"46",74,"Mount Greenwood","2",63.8888888888889,10,4,7,6
"47",8,"Near North Side","1",94.4444444444444,10,10,8,10
"48",33,"Near South Side","1",88.8888888888889,10,8,8,10
"49",28,"Near West Side","1",75,10,8,7,6
"50",61,"New City","4",33.3333333333333,10,2,1,3
"51",5,"North Center","1",88.8888888888889,10,7,9,10
"52",29,"North Lawndale","4",27.7777777777778,10,2,1,1
"53",13,"North Park","2",58.3333333333333,10,4,2,9
"54",10,"Norwood Park","2",61.1111111111111,10,5,6,5
"55",36,"Oakland","2",47.2222222222222,10,2,1,8
"56",76,"O'Hare","2",61.1111111111111,10,6,2,8
"57",15,"Portage Park","2",52.7777777777778,10,4,4,5
"58",50,"Pullman","4",33.3333333333333,10,3,1,2
"59",54,"Riverdale","4",27.7777777777778,10,1,1,2
"60",1,"Rogers Park","3",38.8888888888889,10,3,1,4
"61",49,"Roseland","4",33.3333333333333,10,2,1,3
"62",46,"South Chicago","4",27.7777777777778,10,2,1,1
"63",51,"South Deering","3",38.8888888888889,10,2,1,5
"64",30,"South Lawndale","4",33.3333333333333,10,1,1,4
"65",43,"South Shore","4",30.5555555555556,10,2,1,2
"66",32,"The Loop","1",94.4444444444444,10,10,8,10
"67",3,"Uptown","3",41.6666666666667,10,4,2,3
"68",73,"Washington Heights","3",41.6666666666667,10,2,2,5
"69",40,"Washington Park","4",27.7777777777778,10,2,1,1
"70",62,"West Elsdon","3",41.6666666666667,10,2,2,5
"71",67,"West Englewood","4",25,10,1,1,1
"72",26,"West Garfield Park","4",27.7777777777778,10,2,1,1
"73",65,"West Lawn","3",41.6666666666667,10,2,2,5
"74",53,"West Pullman","4",30.5555555555556,10,2,1,2
"75",2,"West Ridge","3",44.4444444444444,10,3,2,5
"76",24,"West Town","1",77.7777777777778,10,7,8,7
"77",42,"Woodlawn","4",27.7777777777778,10,2,1,1
